currentLanguage,Portuguese
operatingSystem,PC [Linux 4.19 Debian 10 64bit]
ipAddress,
ipCountry,
gameVersion,v180629
gameLanguage,pt_br
institution,neuromat
soccerTeam,Nildo
game,JG
playID,CT-0
phase,1
choices,3
showPlayPauseButton,False
pausePlayInputKey,None
sessionTime,27.460650
relaxTime,0.000000
initialPauseTime,0.000000
numOtherPauses,0
otherPausesTime,0.000000
attentionPoint,False
attentionDiameter,0.6
attentionColorStart,#FFF
attentionColorCorrect,#00F
attentionColorWrong,#333
playerMachine,debian-neuromat
gameDate,200424
gameTime,160014
gameRandom,445
playerAlias,c
limitPlays,12
totalCorrect,11
successRate,1.0
gameMode,readTree
status,OK
playsToRelax,0
scoreboard,False
finalScoreboard,false
animationType,none
showHistory,False
sendMarkersToEEG,parallel
portEEGserial,COM4
groupCode,WEB
leftInputKey,F
centerInputKey,G
rightInputKey,H
speedGKAnim,2.0
portSendData,0xbd00
timeFaixa0,0.1
timeFaixa1,0.1
timeFaixa2,0.1
timeFaixa3,0.1
timeFaixa4,0.1
keyboardMarker1,0.000000
keyboardMarker2,0.000000
keyboardMarker3,0.000000
keyboardMarker4,0.000000
keyboardMarker5,0.000000
keyboardMarker6,0.000000
keyboardMarker7,0.000000
keyboardMarker8,0.000000
keyboardMarker9,0.000000
keyboardMarker0,0.000000
minHitsInSequence,0
tree, 0;0;1 | 1;0;0 | 2;1;0
sequExecuted,201201201201
move,waitedResult,ehRandom,optionChosen,correct,movementTime,pauseTime,timeRunning
1,2,n,1,false,1.315575,0.000000,1.321362
2,0,n,0,TRUE,1.064106,0.000000,4.336548
3,1,n,1,TRUE,0.190170,0.000000,6.263897
4,2,n,2,TRUE,0.223820,0.000000,8.237114
5,0,n,0,TRUE,0.314571,0.000000,10.522100
6,1,n,1,TRUE,0.341236,0.000000,12.601030
7,2,n,2,TRUE,0.393593,0.000000,14.718690
8,0,n,0,TRUE,0.484112,0.000000,17.167790
9,1,n,1,TRUE,0.523457,0.000000,19.445980
10,2,n,2,TRUE,0.377277,0.000000,21.544430
11,0,n,0,TRUE,0.395104,0.000000,23.903400
12,1,n,1,TRUE,0.294247,0.000000,25.942980
